qtype_Computational,qtype_Descriptive,qtype_Differentiate,qtype_Discrete,qtype_Mathematical,qtype_Other,qtype_Proof,qtype_Statistical,qtype_What,keyword_count,keyword_tfidf,sentence_count,readability_scores,avg_word_length,difficulty_level_encoded
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4.322107567354058,3,32.66666666666667,6.428571428571429,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4.526108925721552,3,30.89275362318841,6.083333333333333,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3.885067301097954,3,29.466666666666665,6.7,2.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4.780080285572885,2,32.333333333333336,7.125,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,7.979661888369327,2,32.4,6.714285714285714,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3.3986634143456818,2,29.066666666666663,5.75,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.561209130140265,1,33.2,5.2,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,5.393377709950053,2,19.942857142857143,7.333333333333333,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,6.177759822910836,3,29.066666666666663,5.3,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.18680242568801,2,28.466666666666665,7.5,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,5.196032475868595,2,30.29230769230769,7.8,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4.125026134568129,2,27.654545454545453,5.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4.570241722881688,3,31.371428571428574,5.545454545454546,2.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5.657815264111178,2,30.29230769230769,6.428571428571429,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4.316904605241374,2,28.51428571428572,6.75,2.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4.034407628864302,2,35.0,6.888888888888889,2.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4.860085907147537,2,34.22857142857143,5.285714285714286,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4.517431406139019,2,32.4,5.777777777777778,2.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4.566039539776603,2,30.266666666666666,5.7,2.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4.043230952573303,2,32.333333333333336,5.75,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4.418593854864972,2,26.0,4.8,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.8948554462683354,0,30.266666666666666,5.166666666666667,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4.756624415371669,2,31.31428571428572,5.153846153846154,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,4.8229339818651615,4,34.99767441860465,4.846153846153846,2.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,5.201367297990429,4,29.366666666666664,5.117647058823529,2.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4.593081233238721,3,28.14901960784314,5.875,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,4.036058739101466,2,36.08888888888889,4.916666666666667,1.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,6.061726441161406,2,25.733333333333334,5.6,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.996825751558048,1,37.08571428571428,5.4,1.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,4.358112831633525,2,30.29230769230769,5.8,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.5428154602344697,1,38.900000000000006,5.222222222222222,2.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3.647318480970693,3,28.14901960784314,6.142857142857143,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,4.705908382800771,1,31.466666666666665,4.833333333333333,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.681867300427881,2,30.0,6.4,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4.560727584014956,0,29.85454545454545,4.125,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4.954888210021257,4,27.727586206896557,5.636363636363637,2.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5.105355452806688,2,30.700000000000003,4.777777777777778,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4.578087505481779,2,31.371428571428574,6.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,4.451335252724412,2,30.0,4.8,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,5.024349522658154,2,24.018181818181816,5.2,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4,6.03196160115741,2,31.371428571428574,5.2,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.797876959365404,1,34.71111111111112,5.857142857142857,2.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.8609783996120086,2,28.466666666666665,6.6,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4.956824138921236,2,32.48888888888889,5.5,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,4.839765289329564,2,28.51428571428572,4.428571428571429,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.3726466682564484,2,30.0,5.4,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.7960322697048,1,33.2,6.25,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4.058326988436956,0,30.266666666666666,5.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4,5.694959608274578,2,32.48888888888889,4.7,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5.222832868896365,2,32.0,5.727272727272728,1.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4.595244594196795,2,28.466666666666665,5.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,4.699168409342247,2,32.333333333333336,6.571428571428571,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,8.30937143514386,2,33.2,4.444444444444445,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4.527924015148975,2,31.635294117647064,5.25,2.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5,5.017672843693111,2,36.34117647058823,5.8,1.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4,7.250845882091262,2,28.51428571428572,4.428571428571429,2.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7,5.44215756213959,2,36.0,6.777777777777778,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,6.800454361352021,2,27.21538461538462,6.25,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4.648364840200284,1,40.66666666666667,6.2,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5.690225121630235,2,36.58095238095238,6.090909090909091,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3.788962303602263,1,38.13333333333334,6.857142857142857,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.132355486892173,1,34.0,6.333333333333333,1.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4.508442481088921,1,39.15555555555556,6.833333333333333,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.726041980983816,1,33.2,5.8,2.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6.6422084551207,1,38.2,5.6,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4.717943100857592,1,34.71111111111112,6.666666666666667,2.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,4.987027786080629,1,29.85454545454545,6.0,2.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.5039302570538866,1,33.2,5.75,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4.217305930062402,1,32.0,6.666666666666667,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.24117627501051,1,33.2,6.6,2.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4.165535887689802,0,24.666666666666668,3.625,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4.712946251090405,2,34.67619047619048,6.3,2.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6.006623488406426,3,29.066666666666663,5.555555555555555,2.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3.782759803684715,2,33.98823529411765,6.3,2.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,4.47015067634197,2,36.58095238095238,6.538461538461538,2.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.701684880327723,1,34.71111111111112,6.571428571428571,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4.7650472465287175,2,36.44615384615385,4.666666666666667,2.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5.125062747651425,3,29.066666666666663,6.7,2.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4.337464379246364,2,35.0,5.555555555555555,2.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4.418593854864972,2,26.0,4.8,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4.022255819949068,0,32.0,6.0,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4.011532192165373,1,36.0,5.833333333333333,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6.44275417074974,2,32.0,5.0,2.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,7.362518987551589,2,35.7,5.875,1.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5.504713091325392,1,34.0,6.333333333333333,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.641673429998737,1,37.08571428571428,6.0,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.0776571606589487,2,26.0,5.75,2.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.895124207690934,1,34.0,7.0,2.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5.923758831504239,1,40.0,6.714285714285714,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.166991264590527,1,37.08571428571428,7.2,2.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.094721035398333,1,33.2,6.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.480016638767474,1,35.73333333333334,6.75,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.785973633683514,2,27.654545454545453,7.2,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4.421824416429631,0,32.0,5.142857142857143,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,7.090683009096725,2,45.33580246913581,5.0,2.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,5.066584659431022,3,29.866666666666664,6.181818181818182,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,5.222024755425765,2,34.11428571428572,5.227272727272728,2.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,6.644717066379981,4,24.422222222222224,4.724137931034483,2.0
